taxi_id,trips_count,total_trip_total,total_trip_seconds,total_trip_miles
666216b5f5a52f085505fe96fdb477d5c2a9b80ed772658a5767624ac2a87876e111fa42ddc2614c4f9c2dfeee75b2c6301f1385c1185890915134ad09f3f74e,4330,85082.81,4540959.0,28359.4
678095878a2306fa01b08e520d914baaf2ace4999c5118f1acfd5a144f58b2e80bc79d9007ce5bf3e7506ef733fb76067a9fc5896d56c4acd4876f0cdd9db2d7,910,10327.99,517127.0,2636.4
687e3ef9daf087b79188bf0fea27f22cd5786b0cda0c802ad500c781b83e1405930cf3d36f4e92bc1176031645262ccc92cde501857ba0e271f4680807bec0dc,2775,33283.54,1920871.0,9071.9
6aeb4a88ff55ac575e3ef10ef32622967534bd48fb9ba6f3ebcb97b182cba5a8513335b2533b132c4f2e5ecde030e9fce3877f769603ecefae3ffe0c049b8e49,5489,60909.84,3825940.0,14524.5
6b13f64954003e46e0831bab52e2593cacb51d69a49be67e8af5b9e10bae302143586ea85471afd0abdcdb892edabea9b28b5fa574c56bd0b6e8616259c29d1b,4110,48562.35,2807187.0,13060.1
6b76f128c41cb623a7768f21d1eed44de233cf533eebd08f3f5d30c1627923befee98e60f90bd8c204480ff4e7cd12396386d1585895fd172e605ce8b45e2f87,6063,65796.63,3868783.0,16682.7
6bc9a4b2f488c8531e48dd2a8c10459515b486fc16d78ae70a6244b99096d2658cf51cf9dd981a8aa05f3d7e6fa46809dbf53e80125333a9d4d336701f4a63e6,139,1659.89,88716.0,457.5
6c6cc4c518e70492231337ec2a17326e405aa40ad33ee5476ae03da97fd492e9b5c0629b844060ebdc72d85af6ecf741a16cc602b3dbf9dde7b356fc915db043,1748,28321.2,1621239.0,8801.9
6d713653060ecdea87977f52347616222d8d43921341ec38052485a003b9122b8973f8b165bbac0cfbade63e80f0a9b03fb30a39ab4f92452214e7dc27aa29e5,1810,31982.35,1800899.0,10012.6
6e0a0360a9107f3cc0064a80f49f33a7f53e8aa6232d66b590bf83fca4277b3c6203ac04f2d404fdf6a57190cd50530fce8f585b9f122aa4cf98ff0c255e9f2e,6509,79012.01,4694461.0,22994.9
6f0b7eabe6937b1fa433fdd9dcc630ba10a3d95b824b2e8f238b63696c3e99bc5c69c15fb408ddef4c49a177f1f07507dc90411bebc2c99d19b9c1649b7f017b,4105,67080.63,3973668.0,20274.6
6f4196b48b07e4e955131d29b94981a9d1ce571e8099c5a22f49fc0b38fdbadeb6d7c4525de2f6cc62e0cb8bed044343b07bc2cf473fab722466012676c278f8,2575,34441.16,1964634.0,9744.1
7274daf07dd4da878465e03ee2f72165d7e044bcde1c2c0c6ae74a0cc1626b8f4bbf895d70b18d522bc2be82dd058ea0a35e9105b3aed6dd912916bd170981d9,6493,80993.17,4430012.0,22985.0
72920f6ebc5830d39039323cf78a316085444eb8f8b27236f0f7a357fcdef7e58bbea454b63ea564d65ecef89c688606725689733c927cd86e2e16ce8b63bf07,3950,55637.49,3268940.0,16202.5
74ec1551363cdcffdadcc2e4d63620f021954a2c1d75b2d38dd1d579bad41fba7dc90ab7815cd7e35957612463be727c5049b02e3d4c32c01fbb4386ed204820,5028,57341.32,3327943.0,15215.7
7555f3aecc6ed3619f5e16fb9836afa9df7ee98d7ec261f5be88fb44ab81dff83f9292792a65316ab6a3a92764c8944ea4a56c9649bc4673c0f621b5549a3d96,5111,61072.14,3716838.0,16618.5
777918874d6122ba000dfee0e79aa1d3e71af774c4e4db82e0cb7e1a30a4839dac81b3dfda4e50f3626ceb8e9d3e307b836c7ca68dc1149c798861420055c98e,2942,39324.7,2486321.0,11342.7
77c293089364b3b6e57866472146a042cdb4998a686b6285554bf915b1738947419d94a20de474becc56613f2b3848a3e8c1da5529c4b11a1735f5f13998e4df,3799,45517.59,2765830.0,12323.5
77cae6a9e4ce953c603048f153a9b43ed0ee3485c3958e0802d939aed68ecf3e174df5b4d5ac8e6ea84736222f9a7f47e64b7f7dea08d28596532200c9fc0cc3,6182,64325.79,4370377.0,15196.2
77e03a2a400d614e52b7b443e98c5b14f68448f6133f4a35be78693fbc8abb0935bdc1e1d883779205a825eaec78730ba9f5a9a5e8beaf6998e2bcb16295c29d,9520,109172.46,6160841.0,28569.9
783c959e13345041969042574f134d1b9c9816dbfd73a7612335fbc48c24a87c39029ba9093607d5f1786fd444c4b19c80fe201a3055d4a723ea5dd8416ec592,2789,34749.32,2071784.0,9125.9
78d4c31f72d1a5c5121db8c597ac33b8de4575fbf5cfe6698e98c9d03773cb6dadda7cb69c670c9af0892b890c0de7a16f5f7125da7581c052f298cfbb800234,2447,33804.17,1918178.0,9760.5
7a8e1d733e82192304f70e5cdd311ce576a01a8409988704e7789f4c3984590f888138f22bc4eca48e18700d5280343b6366d05038b4835c3808f029ce7ae80b,2282,24407.24,1442387.0,6348.5
7a94870d6dd64df1780e28ebf8ca00311621929b717fa4081d4c476fe4dee4469db07c62388fc97517590883cda61fdc2497ab25f4b699a4d4fb03f53407c334,3127,33655.16,2232586.0,8219.3
7abf21809bb043cd98a7da5af365dd60088d19d08076f0e8eb76076ca071fb1965572cae625aa743839c7a58bab11481e93ca43a6bf004b5b901a6b77f3e5af1,8025,113188.27,5956208.0,35708.0
7d80792fca2516fa6532807f21f9a667fb5d6f8bdb9f955d868ad09b73497a37269a84fc7c470488fbcaafee8550cc2082bebd62ba841cf69513f21b02bec926,2562,35870.21,2147044.0,10612.1
7dd80633118de4a33357f864d8e36442278fca095d484021e38920104d519315f35599c265e95c1932cef429243d0c396c1f84dce9dee5773459aead5345a3e2,1205,17424.35,1001925.0,5249.7
7e578e36c039cde0bfd06ba476de08ffa2fcd69726a801d2c5ca5ca9ea8f3147ea571aa9d7cf24d5a4f927e69ae014966d9822519a5f185189bf70d736c78a4d,11,34.12,876.0,0.0
7ffcb3571e557603b63179d18b25326932d2a2144b14fb8bb1e720f66375fae3fb080ae65015c078a874a566901b81f3a3d87dc0112f2b7ff8e66daa217c5f31,5849,77290.18,4221224.0,22756.3
807f82595e67582251c7abcdde792543facfa8792727326c4528282eb098127c5d4735e821dfbb7fc06e9c303b3e99f8fcbf72761d03765e91d3504fd01bd5bf,7359,92066.81,5413767.0,25428.3
81a3c8596bd2a9ea035f69e26345ff9c6aac4e0fcf2ab34aa95e4b8328725f7ae339ee05b641a62affe8df657b5d4fdd2d32f52d151f111fae74afc1cab10484,6086,73528.15,4370039.0,19952.0
81bc2020b8536280419b3e152ad07a0c5b9f53cbb503a0e4e2b49254d4e359759e76256dab04c95c0ed69ddb5a89ce1f45d8db67bd7fbb101f91417b4ce3d271,2677,30060.64,1840073.0,7305.3
81e50b99d35d234c09f2ff7764159b3963a6896af6c07ab83dc9402c8cf1441ffbc618ce122d7e1ca9544807ae3f6490c7769d85721b8fe0d9d5607a87335b86,6755,89917.83,5225178.0,25387.6
824726452b94cfd411500410b26d1d60e5e07ada21556dbe125f715dd99249a63342560e3c0e09a2d4647104a55682a7d60ebe8d4ec1ed11c72177b97a802d69,6326,79882.36,4341532.0,21603.3
825ba557b43ce787e35384453facf99941fbf6a3bfc30a069fbf8b1b02fdc15396b76b21d7adc87d3bd266fd3b5f3884aabfcc459d5b334efe0b0064a0c274f8,8475,100638.48,5920904.0,27251.1
8307cf9433f0293eee99c6944aeab484521d9cd9b1fce59472580dde77dbb981858564b8de50202efa8fbb2904755e092e70f94524bf3b6c015f852181998c7e,8192,116067.96,6896258.0,34340.0
83475bc1d2aba20b9ba898587da42d6ecd319ad5328a35d7686c94bfbc8aefe4ebc23c7bb92ef0e8f6773ef2483dbdc8e15df98672a81f7728c6df04cdf5aa4e,4372,90745.8,4642365.0,31615.2
849930a73e61db5b1375686b06073b52e56e9d372546cf8ba4b79d7cb1943d15a0d607779670c4d5094b283b3a94db8e96a330c1169d5173e5ea182abf6595cd,5263,84411.18,4450253.0,26629.0
849aae5350fb22b8de2063a4f75bb82cbc4ec0ac52d1d86771f13909e3189bccc15702bbb0d6be0997c715a41ed663523fbe69c350c00399be43656621defbbf,3390,35034.51,2171854.0,8365.4
86cd7f7f072283bc71f09a8bdddf7d0d4c92971f4275371d84c8c3e466c1daab301af8d3531c0eb4aa837129f2c33b25b22721ffe27177d615e7d6c8ba2adeb6,4685,60864.59,3215031.0,17198.7
