taxi_id,Public Vehicle Number,Vehicle Make,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source
9643a6593d37fdd4faa51aa8f790008c50405a817d1ebc067d06cd7d271f66e6060463b7a9d76c1ff0c09f3854008268783b2baf2e81f77c5468c87ccc9f8b49,3754,TOYOTA,2014.0,WHITE,Hybrid
fdcc770e27c1fb9af9154cbab27fa4a1f830d1a3d6a839549599a12edc7c2fd0c1563fbbc9da8b9057d0338f3987c628d192efd631328c3bcd7cce6c08721fb7,2504,TOYOTA,2013.0,WHITE,Hybrid
0300862a19483bcacac6176544abf331b8a3d41ec6efda29f206dfac6305ce2565e74f09768f37b32bd0cff245af48008d2168e50c66b8823db763366b7b6b12,1668,TOYOTA,2013.0,WHITE,Hybrid
58c784c628cc2b0b77468e6a406acea729301abbc17a6240eed68ac3b5ce5a9378deffab5b2b940db6c83e7c9553eacd8fdb8d10593e071cefffe2b388af3bd7,1290,TOYOTA,2013.0,WHITE,Hybrid
c3fef744d297219827cf0c153ac0d39d1a60a6564b1d55e6e1631f2012d582630431d6a8e56a9c913721512fe88116d6b57b497587faa2d68d286c75546f61d1,4169,TOYOTA,2012.0,WHITE,Hybrid
08e4c675f870d249230823ad91ae3549849d86ae58c4e85105e73aaabad9ce1c2f34a4694504034ede824f85df0867d15a1fdd5632cc197e9def7b65db18d2a2,6083,TOYOTA,2013.0,WHITE,Hybrid
0bea3de3c36237d68b009b24ee3db86c78e9e618a73a3b5776e5f4bba06775f91b3520db910d24b97d577e57c4372f5d9d2eb58d338f3a0add0e37c0f71f6701,3248,TOYOTA,2015.0,BLACK,Hybrid
03cc788ae35f829575456d05381274aab1700ba7b0ea78148c14e1998e00d97d60d5dfce9120c490f5121bd940a47637974eae70c746dfa8c84cd7df25ffb5da,2862,NISSAN,2011.0,WHITE,Hybrid
322630536b6fae63312b46cb1ddab0df9493b49a3eb5decc1f6877df612635317b87068aa89d1107157b16c8f97eb2fd3a4bff1034b717fa0fbddac94c9661c9,6920,TOYOTA,2014.0,WHITE/BLUE,Hybrid
7155fb4a27bc60e860cf4976b48594989f11b69f4c3e2ec7d479efbfb7fc22c1ed0c9814e18f4b68e967332faa197c83a1cbf90bdf3ee77ba7f1eb8689ce40b5,3472,TOYOTA,2013.0,BLUE/WHITE,Hybrid
d5c8316aaa128f1979e9e3ee66572265161613d11e13351a630bd20cf4e4d44c357477b7273b626e74eee6391e3f4f4803ef89010bbc5e5ee10fe287671fd16f,6830,NISSAN,2011.0,BLUE,Hybrid
35a442cf7913c9ddfbcd75d97179667ee556898e8d8b55dc8ee989778501bbc217188081eb2a3c2ac4c4e321a38aec14bbd08e4b61938f6a332676c9a4638237,1338,FORD,2012.0,WHITE,Hybrid
58b30580817487ad4df0d8093e7770c1f34fec52f2426ffeb49ca06173962909b586d26d3b64b653b9cc7b601cd22ae3ff8d4ab158dada1f54b53f5ad86dc7cc,4640,FORD,2014.0,WHITE,Hybrid
341cead8979074196f3231099ef811c4e905d7031dd6d7474e73483dce7fc666624798bac917ccc5bc8237cf33cdc0fb287db88a93ec53fc5472d3c8255d9eca,2568,NISSAN,2011.0,WHITE,Hybrid
4c437b70b55212de32439053c915572d336a8cc2fb712999ae6fe0fef3b8d0018beacdd3643cf559873ae04b6a2a9c3b01a821ff06f47bffdc6d03efa200d78d,256,VPG,2012.0,WHITE,Compressed Natural Gas
1d9f1ab92fd36a4578d77d25eecb75771962aa5047119a76f240e35c9d3122ecedf4eeb0e72f6b2fb9302927cbe67f4decca34287fb5f97d51acd02b6bd86531,5893,TOYOTA,2015.0,YELLOW,Hybrid
0041f8f0c91881c1e1913f2548522495fe3c4c719aa67fd2483ebbcc22e0aa1bfff2cddb32c35cde3ad9766b0e8d44c04ff5dfdcf1035462ba81a13e3ba6b8f9,2590,FORD,2012.0,WHITE,Hybrid
10a6907d312f530c01cdb904c680f61907c2f2598ff455c8e90b561422862780c29bc14ea2d749a443a65347709b3a96aea54c92ff8d55da4815f564d8f96a4a,2586,NISSAN,2011.0,WHITE,Hybrid
a1f7604afbf5087bfda11236fa97db7289e0983f0f0dfc3e45979964174932a4baa09b923adb28da15a8fd49b981288ee2d2eea9bf23d1d37f7edbc25da9f92a,5878,TOYOTA,2015.0,WHITE,Hybrid
86cd7f7f072283bc71f09a8bdddf7d0d4c92971f4275371d84c8c3e466c1daab301af8d3531c0eb4aa837129f2c33b25b22721ffe27177d615e7d6c8ba2adeb6,146,TOYOTA,2013.0,GRAY/WHITE,Hybrid
0423b61dd9d4f4da3f4490e3dfed085a321aa78d527286537b0c5c80ba88b03f54761985ace14a0451b92a7dba1ce3888208cba74ad0f394ed730c793c84031c,2537,TOYOTA,2010.0,WHITE,Hybrid
a2f43960996408dea7a7a313753317981e812219c9e04096656fd153ed0f156016974148412fe2790c6082fa621404c179ff74bb8a70b6e6cd3f355fc6c9890d,5972,TOYOTA,2013.0,WHITE,Hybrid
7274daf07dd4da878465e03ee2f72165d7e044bcde1c2c0c6ae74a0cc1626b8f4bbf895d70b18d522bc2be82dd058ea0a35e9105b3aed6dd912916bd170981d9,3920,TOYOTA,2013.0,BLUE/WHITE,Hybrid
6a7c0076b552cd134aab8c73d8c123b5a3b32f949a68fcf8ce348efa5c935aac5e934c001e4ddfa162d103c0e9caa338d7efc512e55a80d80f960319351cc723,1065,TOYOTA,2012.0,WHITE,Hybrid
1344830e881c7eba092d0c19fc0d33fb004fce6932414144bd9344f0eb4bbf27e73da6e7bd44bb2591459cebc5bfaea6e68c5ff0b38f4d6693e091887ef3e0f7,4409,TOYOTA,2013.0,WHITE,Hybrid
95408f6a067421373e372f608c8f5f609b816d8bc9a747d19268389e0ef1d5a51001f6abb6dd312816772606a553c8f013948bad60b7617ffb8d6f85a2bb48ca,5289,TOYOTA,2015.0,WHITE,Hybrid
23b9866f90ca40c6f83dad34292294e07e864e5b284a7dafa6f67d060a9b3be73864c1e4cf8d8a7da2b6bbb1935c02f812d38f1556e56be6de4a5b9917507105,3694,TOYOTA,2014.0,WHITE,Hybrid
9fad02b629f52ed9dda9c78551e5ba56454ab8e4e2bea3a4ae74128a0e89ac976637e90ca0612415d90a1f6e5bfdafacaaa8e33be5102a7001294cfdd09a9407,5649,TOYOTA,2012.0,WHITE,Hybrid
9993904a2f796897a5b465ee4440c2e5cf569afc773e2f103d222c47a7c03cb4f23fd01c1910557bcfd2e4eac1f1e0a0f9f216859ae8f09156c4697291e36dd6,2392,TOYOTA,2013.0,WHITE,Hybrid
fe100c91e0eb36b6f70611f4d2fab5531f1a55009e138ed96d9bd2c9697a0b0684772d8d71a2932e077a6428c0941e4a5cfd4fbd24f3af93f4244a2a28459d85,2443,NISSAN,2011.0,WHITE,Hybrid
2bf9f0a25f68acc4b7a626db3c45b2af37069e683684a6c82de499988a3917104291e78f190920e96b520e2b74b7da6abfce821c3bcc8bc8c8467f143d06b1c2,6539,FORD,2010.0,WHITE,Hybrid
6c6cc4c518e70492231337ec2a17326e405aa40ad33ee5476ae03da97fd492e9b5c0629b844060ebdc72d85af6ecf741a16cc602b3dbf9dde7b356fc915db043,5756,TOYOTA,2015.0,WHITE,Hybrid
