location_coordinates,address,type
"41.968069, -87.721559063","3715, West Lawrence Avenue, Albany Park, Chicago, Jefferson Township, Cook County, Illinois, 60625, United States",yes
"41.87101588, -87.631406525","AMLI Lofts, 850, South Clark Street, Printer's Row, Loop, Chicago, Cook County, Illinois, 60605, United States",apartments
"41.980157574, -87.652274017","North Jean Baptiste Point DuSable Lake Shore Drive, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60640, United States",motorway
"41.851017824, -87.635091856","Chinatown Elderly Apartments, 300, West 23rd Street, Chinatown, Armour Square, Chicago, Cook County, Illinois, 60616, United States",social_facility
"41.938666196, -87.711210593","3141, North Christiana Avenue, Avondale, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",yes
"41.850266366, -87.667569312","SIMS Metal Management, 2301, South Paulina Street, Canalport, Lower West Side, Chicago, West Chicago Township, Cook County, Illinois, 60608, United States",recycling
"41.905857769, -87.630865027","1301, North Sutton Place, Gold Coast, Near North Side, Chicago, Cook County, Illinois, 60610, United States",yes
"41.899737388, -87.664953917","999, North Greenview Avenue, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60642, United States",house
"41.953582125, -87.72345239","3831, West Irving Park Road, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",house
"41.842076117, -87.633973422","2801-2809, South Princeton Avenue, Chinatown, Armour Square, Chicago, Cook County, Illinois, 60616, United States",church
"41.900560384, -87.69419737","1035, North Washtenaw Avenue, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",yes
"41.924347077, -87.734739754","4313-4315, West Fullerton Avenue, Beat 2522, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States",yes
"42.001698194, -87.673574032","1708-1720, West Albion Avenue, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",yes
"41.986808626, -87.694415191","5801-5805, North Rockwell Street, West Ridge, Chicago, Jefferson Township, Cook County, Illinois, 60645, United States",yes
"41.870415, -87.675085621","Sport & Fitness Center (SFC), 801-815, South Damen Avenue, Illinois Medical District, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60612, United States",sports_centre
"41.836150155, -87.648787952","3204, South Lituanica Avenue, Bridgeport, Chicago, Cook County, Illinois, 60608, United States",yes
"41.912364354, -87.675062757","1702, North Wolcott Avenue, Wicker Park, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60614, United States",yes
"41.916473316, -87.641183657","500, West Wisconsin Street, Belgravia Terrace, Lincoln Park, Chicago, Cook County, Illinois, 60614, United States",yes
"41.934762456, -87.639853859","2906, North Sheridan Road, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60657, United States",yes
"41.808916283, -87.596183344","4721, South Woodlawn Avenue, Kenwood, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",yes
"41.860190019, -87.7172201","1521, South Lawndale Avenue, North Lawndale, Chicago, West Chicago Township, Cook County, Illinois, 60623, United States",yes
"41.914585709, -87.645966207","1825, North Orchard Street, Belgravia Terrace, Lincoln Park, Chicago, Cook County, Illinois, 60614, United States",yes
"41.833517886, -87.681355829","3313, South Bell Avenue, Ducktown, McKinley Park, Chicago, Cook County, Illinois, 60608, United States",yes
"41.892658108, -87.652534484","Kennedy Expressway, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60661, United States",bridge
"41.761577908, -87.572781987","7330, South Merrill Avenue, South Shore, Chicago, Hyde Park Township, Cook County, Illinois, 60649, United States",yes
"41.946489764, -87.647113634","Mumford Hall, 700, West Brompton Avenue, Northalsted, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60657, United States",religious
"41.812948939, -87.617859676","4501-4503, South Calumet Avenue, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",yes
"41.982775009, -87.8773054","Kennedy Expressway, O'Hare, Chicago, Jefferson Township, Cook County, Illinois, 60666, United States",motorway
"41.863787123, -87.692515928","2632, West 13th Place, North Lawndale, Chicago, West Chicago Township, Cook County, Illinois, 60608, United States",house
"41.954027649, -87.763399032","Nature & Wildlife Garden, West Irving Park Road, Martin Luther, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",garden
"41.795430631, -87.696435232","2916-2918, West 54th Street, Garfield Manor, Gage Park, Chicago, Lake Township, Cook County, Illinois, 60632, United States",yes
"41.897983898, -87.641491533","836-852, North Mohawk Street, Near North Side, Chicago, Cook County, Illinois, 60610, United States",yes
"41.847431547, -87.663528686","2434-2550, South Laflin Street, Canalport, Lower West Side, Chicago, West Chicago Township, Cook County, Illinois, 60608, United States",yes
"41.985015101, -87.804532006","7116, West Talcott Avenue, Norwood Park, Chicago, Jefferson Township, Cook County, Illinois, 60631, United States",yes
"41.972437081, -87.671109526","Thorek Memorial Hospital Andersonville, 5025, North Paulina Street, Winnemac, Uptown, Chicago, Lake View Township, Cook County, Illinois, 60640, United States",hospital
"41.890608853, -87.756046711","556, North Laramie Avenue, Austin, Chicago, West Chicago Township, Cook County, Illinois, 60651, United States",yes
"41.900265687, -87.63210922","Oak Club, 123-127, West Oak Street, Gold Coast, River North, Chicago, Cook County, Illinois, 60610, United States",residential
"41.921877461, -87.66407824","2201, North Clybourn Avenue, Lincoln Park, Chicago, Cook County, Illinois, 60614, United States",yes
"41.953400044, -87.646007066","628-630, West Sheridan Road, Pine Grove, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",yes
"41.907412816, -87.640901525","1360, North Cleveland Avenue, Near North Side, Chicago, Cook County, Illinois, 60614, United States",yes
"41.856333217, -87.659564239","1316, West 19th Street, Pilsen, Lower West Side, Chicago, West Chicago Township, Cook County, Illinois, 60608, United States",yes
"41.950605232, -87.671332488","1656, West Grace Street, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60618, United States",yes
"41.928619051, -87.685362024","Target, 2656, North Elston Avenue, Logan Square, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",department_store
"41.899506548, -87.679600287","2054-2056, West Augusta Boulevard, Ukrainian Village, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60622, United States",yes
"41.957843375, -87.676373281","1844, West Berteau Avenue, Cuyler, North Center, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",yes
"41.779582888, -87.768510849","6200, South Monitor Avenue, Clearing, Chicago, Lake Township, Cook County, Illinois, 60638, United States",yes
"41.993930128, -87.758353588","6214, North Leroy Avenue, Edgebrook, Forest Glen, Chicago, Jefferson Township, Cook County, Illinois, 60646, United States",yes
"41.958055933, -87.660389456","Greenwood Avenue, Sunnyside, Uptown, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",service
"41.941422478, -87.675953932","1847, West School Street, Hamlin Park, North Center, Chicago, Lake View Township, Cook County, Illinois, 60618, United States",yes
"41.911972301, -87.683642922","1656, North Bell Avenue, Wicker Park, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",yes
